,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603588.SH,20211228,17.28,17.4,16.9,17.35,16.9,0.45,2.6627,147403.69,253396.826
1,603588.SH,20211227,16.78,16.98,16.43,16.9,16.78,0.12,0.7151,80098.79,134638.936
2,603588.SH,20211224,16.6,16.85,16.48,16.78,16.71,0.07,0.4189,71756.7,119794.083
3,603588.SH,20211223,16.52,16.74,16.25,16.71,16.51,0.2,1.2114,93870.33,154935.216
4,603588.SH,20211222,16.81,17.48,16.42,16.51,16.38,0.13,0.7937,163179.0,275526.071
5,603588.SH,20211221,16.41,16.58,16.13,16.38,16.39,-0.01,-0.061,67826.15,110923.223
6,603588.SH,20211220,16.61,16.88,16.23,16.39,16.77,-0.38,-2.266,104797.57,172478.978
7,603588.SH,20211217,16.79,16.89,16.58,16.77,16.84,-0.07,-0.4157,63108.37,105615.13
8,603588.SH,20211216,16.8,16.95,16.52,16.84,16.55,0.29,1.7523,129360.59,217849.795
9,603588.SH,20211215,16.29,16.92,16.28,16.55,16.45,0.1,0.6079,127604.22,211286.889
10,603588.SH,20211214,15.9,16.69,15.71,16.45,15.87,0.58,3.6547,181081.19,295120.744
11,603588.SH,20211213,15.53,16.1,15.53,15.87,15.53,0.34,2.1893,119780.26,190368.013
12,603588.SH,20211210,15.6,15.68,15.49,15.53,15.63,-0.1,-0.6398,45324.17,70596.719
13,603588.SH,20211209,15.67,15.88,15.47,15.63,15.74,-0.11,-0.6989,70877.55,110515.876
14,603588.SH,20211208,15.37,15.9,15.3,15.74,15.22,0.52,3.4166,125408.25,196713.725
15,603588.SH,20211207,15.5,15.59,15.1,15.22,15.45,-0.23,-1.4887,99059.28,151126.186
16,603588.SH,20211206,15.72,15.83,15.38,15.45,15.64,-0.19,-1.2148,67242.37,105076.366
17,603588.SH,20211203,15.7,15.72,15.29,15.64,15.6,0.04,0.2564,67849.87,105132.732
18,603588.SH,20211202,15.75,16.1,15.58,15.6,15.82,-0.22,-1.3906,75566.31,118986.476
19,603588.SH,20211201,15.8,15.91,15.56,15.82,15.73,0.09,0.5722,89414.86,140678.033
20,603588.SH,20211130,15.51,16.14,15.48,15.73,15.5,0.23,1.4839,112514.15,177537.006
21,603588.SH,20211129,15.65,15.83,15.37,15.5,15.88,-0.38,-2.3929,95511.07,148321.236
22,603588.SH,20211126,15.67,16.01,15.56,15.88,15.73,0.15,0.9536,74534.81,118016.559
23,603588.SH,20211125,16.09,16.11,15.58,15.73,16.01,-0.28,-1.7489,101028.1,159005.491
24,603588.SH,20211124,15.97,16.4,15.6,16.01,15.7,0.31,1.9745,137495.39,219026.347
25,603588.SH,20211123,15.46,15.78,15.45,15.7,15.58,0.12,0.7702,59614.64,93258.09
26,603588.SH,20211122,15.5,15.69,15.33,15.58,15.4,0.18,1.1688,54142.43,83906.425
27,603588.SH,20211119,15.28,15.52,15.16,15.4,15.26,0.14,0.9174,53551.37,82412.699
28,603588.SH,20211118,15.37,15.49,15.15,15.26,15.4,-0.14,-0.9091,60441.96,92501.408
29,603588.SH,20211117,15.24,15.57,14.96,15.4,15.12,0.28,1.8519,88653.0,135034.125
30,603588.SH,20211116,15.55,15.65,15.12,15.12,15.48,-0.36,-2.3256,85454.58,130714.49
31,603588.SH,20211115,15.06,15.54,15.06,15.48,15.03,0.45,2.994,88777.7,136432.599
32,603588.SH,20211112,15.27,15.36,14.88,15.03,15.23,-0.2,-1.3132,98918.47,148774.839
33,603588.SH,20211111,14.82,15.3,14.77,15.23,14.87,0.36,2.421,102191.57,155317.31
34,603588.SH,20211110,15.03,15.03,14.33,14.87,15.03,-0.16,-1.0645,171324.01,250249.176
35,603588.SH,20211109,15.9,15.92,14.85,15.03,15.77,-0.74,-4.6925,153109.83,231949.146
36,603588.SH,20211108,15.78,16.17,15.6,15.77,15.35,0.42,2.7362,78129.88,123856.064
